year,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022-01,19.5,93.0,0.1,912.4
2022-02,19.4,92.0,0.0,913.0
2022-03,20.4,84.0,0.0,914.0
2022-04,19.1,84.0,0.0,915.2
2022-05,15.5,77.0,0.0,916.3
2022-06,15.9,70.0,0.0,917.1
2022-07,16.7,57.0,0.0,918.3
2022-08,17.3,55.0,0.0,917.8
2022-09,19.4,57.5,0.0,916.1
2022-10,20.35,68.5,0.0,914.5
2022-11,19.4,76.0,0.0,914.6
2022-12,20.8,83.0,0.0,914.3
2023-01,20.8,87.0,0.1,915.6
2023-02,22.1,86.0,0.0,916.4
2023-03,21.95,79.0,0.0,917.1
2023-04,20.2,79.0,0.0,916.7
2023-05,17.75,74.0,0.0,918.6
2023-06,16.4,78.0,0.0,919.9
2023-07,17.1,71.0,0.0,920.4
2023-08,19.25,68.0,0.0,919.1
2023-09,23.1,58.5,0.0,918.0
2023-10,22.9,78.0,0.0,916.0
2023-11,24.1,68.5,0.0,915.3
2023-12,23.6,76.0,0.0,915.5
